===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-07-05 03:56:34
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
101.66.199.118:9901       | CCTV9           |   4.49 Mbps |   0%
101.66.199.118:9901       | CCTV6           |   5.49 Mbps |   0%
220.187.218.41:9901       | CCTV12          |   7.14 Mbps |  87%
106.115.27.177:9901       | CCTV12          |   0.52 Mbps | 100%
106.115.27.177:9901       | 江苏卫视            |   0.12 Mbps | 100%
183.236.10.36:8083        | CCTV13新闻        |   2.69 Mbps | 100%
183.236.10.36:8083        | 内蒙古卫视           |   0.79 Mbps |   0%
221.232.199.185:7777      | 北京卫视            |   0.08 Mbps | 100%
110.72.71.208:8181        | 深圳卫视            |   8.37 Mbps |   0%
101.66.199.29:9901        | CCTV8           |   3.47 Mbps | 100%
101.66.199.29:9901        | CCTV6           |   0.63 Mbps | 100%
221.232.197.122:7777      | CCTV1           |   3.52 Mbps | 100%
221.232.197.122:7777      | CCTV12          |   2.72 Mbps | 100%
222.85.198.92:8000        | 黑龙江卫视           |   1.03 Mbps | 100%
222.85.198.92:8000        | CCTV3           |    0.6 Mbps | 100%
61.182.89.14:808          | 山西卫视            |   5.38 Mbps |  75%
61.182.89.14:808          | CCTV3           |    9.5 Mbps |   0%
122.114.131.154:4060      | CCTV11          |   0.65 Mbps | 100%
106.115.25.21:9901        | 甘肃卫视            |   0.42 Mbps | 100%
106.115.25.21:9901        | CCTV5           |   0.38 Mbps | 100%
183.129.211.142:808       | CCTV7国防军事       |   0.43 Mbps | 100%
183.129.211.142:808       | CCTV1综合         |   0.83 Mbps | 100%
139.208.190.209:9901      | 山东卫视            |   3.32 Mbps | 100%
139.208.190.209:9901      | CCTV17          |   3.01 Mbps | 100%
124.88.238.50:81          | CCTV5体育         |   3.49 Mbps |  73%
106.115.27.179:9901       | 河北卫视            |   0.12 Mbps | 100%
221.14.142.118:8000       | CCTV3综艺         |   7.91 Mbps |  82%
221.14.142.118:8000       | 东方卫视            |   4.72 Mbps |   3%
101.66.194.186:9901       | 广西卫视            |   1.26 Mbps |   0%
101.66.194.186:9901       | 安徽卫视            |   1.49 Mbps | 100%
61.138.82.196:808         | 辽宁卫视            |    9.2 Mbps |   0%
61.138.82.196:808         | 西藏卫视            |   4.79 Mbps |  20%
171.15.150.234:9999       | CCTV11          |   0.34 Mbps | 100%
125.46.177.231:60000      | 天津卫视            |  10.19 Mbps |  13%
125.46.177.231:60000      | CCTV1综合         |   9.97 Mbps |   2%
222.142.184.247:8888      | CCTV2财经         |   9.73 Mbps |   0%
222.142.184.247:8888      | 安徽卫视            |   9.76 Mbps |   0%
14.106.99.3:888           | 甘肃卫视            |   5.77 Mbps |   0%
14.106.99.3:888           | CCTV12社会与法      |   5.83 Mbps |   0%
1.196.157.101:999         | CCTV7           |   9.02 Mbps |   0%
